text,label
"Government announces new education policy for students",REAL
"Scientists discover a new method to improve solar energy",REAL
"National railway announces additional trains for festival season",REAL
"Researchers publish new study about climate change",REAL
"Government launches new scholarship program for students",REAL
"University announces examination schedule for students",REAL
"Scientists develop new technology for clean energy production",REAL
"New public transport project announced by the government",REAL
"Researchers report progress in medical research",REAL
"Government announces new employment training program",REAL
"Celebrity claims drinking magic water makes humans immortal",FAKE
"Scientists confirm that humans can live forever by eating one fruit",FAKE
"Secret government device can make everyone instantly rich",FAKE
"Famous actor says aliens will arrive tomorrow",FAKE
"Miracle medicine can cure every disease in one day",FAKE
"Internet post claims moon will disappear next week",FAKE
"Celebrity reveals a secret formula that guarantees unlimited money",FAKE
"Fake report claims people no longer need to sleep",FAKE
"Social media post claims drinking salt water gives superpowers",FAKE
"Viral message claims smartphones can predict the future",FAKE
